"","full_name","month","anom.abs"
"58","Colorado",10,1.17530129823135
"59","Colorado",11,1.4916977383896
"60","Colorado",12,1.22294323999039
"61","Connecticut",1,2.02430214611844
"62","Connecticut",2,1.63298498326886
"63","Connecticut",3,1.33995457706905
"64","Connecticut",4,0.868107512661961
"65","Connecticut",5,1.06217611774103
"66","Connecticut",6,0.761775311817757
"67","Connecticut",7,0.915450745166449
"68","Connecticut",8,0.885350912191473
"69","Connecticut",9,0.879025224876201
"70","Connecticut",10,0.945148003069805
"71","Connecticut",11,1.16466616755854
"72","Connecticut",12,1.86605983672291
"73","Delaware",1,1.91354685568263
"74","Delaware",2,1.54341868945407
"75","Delaware",3,1.31087513908675
"76","Delaware",4,0.874675265497708
"77","Delaware",5,0.998822713953412
"78","Delaware",6,0.790823996251696
"79","Delaware",7,0.824828768385194
"80","Delaware",8,0.847527649605405
"81","Delaware",9,0.823411214987444
"82","Delaware",10,0.938511409118049
"83","Delaware",11,1.24343540038566
"84","Delaware",12,1.86768820680166
"85","District of Columbia",1,1.94054054054054
"86","District of Columbia",2,1.64324324324324
"87","District of Columbia",3,1.49459459459459
"88","District of Columbia",4,0.967567567567567
"89","District of Columbia",5,1.17027027027027
"90","District of Columbia",6,0.843243243243243
"91","District of Columbia",7,0.924324324324324
"92","District of Columbia",8,0.97027027027027
"93","District of Columbia",9,0.848648648648649
"94","District of Columbia",10,1.04324324324324
"95","District of Columbia",11,1.33513513513514
"96","District of Columbia",12,1.94054054054054
"97","Florida",1,1.37417869543785
"98","Florida",2,1.14470691495813
"99","Florida",3,1.19977021767687
"100","Florida",4,0.874207371491019
"101","Florida",5,0.602090628310762
"102","Florida",6,0.493231140365624
"103","Florida",7,0.411248136458207
"104","Florida",8,0.416953843585154
"105","Florida",9,0.386473359639029
"106","Florida",10,0.610122751441127
"107","Florida",11,1.06575814861215
"108","Florida",12,1.58610916726655
"109","Georgia",1,1.6666498352275
"110","Georgia",2,1.26865201274264
"111","Georgia",3,1.45844197672595
"112","Georgia",4,1.07534168916737
"113","Georgia",5,0.822788652437977
"114","Georgia",6,0.777815572006969
"115","Georgia",7,0.776403831787035
"116","Georgia",8,0.817944895979119
"117","Georgia",9,0.721089869952864
"118","Georgia",10,0.976216209459192
"119","Georgia",11,1.42777134946261
"120","Georgia",12,1.96199148349513
"121","Idaho",1,1.61487038073601
"122","Idaho",2,1.58746279214666
"123","Idaho",3,1.10525983083406
"124","Idaho",4,1.29212781486469
"125","Idaho",5,1.03908812462664
"126","Idaho",6,1.24240255088612
"127","Idaho",7,1.37253977631349
"128","Idaho",8,0.997865696558929
"129","Idaho",9,1.21510980702276
"130","Idaho",10,1.15174942519855
"131","Idaho",11,1.48180351837195
"132","Idaho",12,1.62189369942945
"133","Illinois",1,1.98879028950648
"134","Illinois",2,2.22350681188442
"135","Illinois",3,1.61167124663622
"136","Illinois",4,1.11510379026004
"137","Illinois",5,1.27086477868446
"138","Illinois",6,1.09273262967499
"139","Illinois",7,1.19538830372196
"140","Illinois",8,1.09650747453941
"141","Illinois",9,0.94067362632769
"142","Illinois",10,1.10679692952038
"143","Illinois",11,1.64952424849898
"144","Illinois",12,2.16438540179536
"145","Indiana",1,2.06789089346546
"146","Indiana",2,2.24203732741548
"147","Indiana",3,1.75699516811222
"148","Indiana",4,1.21302371591896
"149","Indiana",5,1.52914687909736
"150","Indiana",6,1.00749984861187
"151","Indiana",7,1.1059730615551
"152","Indiana",8,1.07415285025481
"153","Indiana",9,1.01349037754992
"154","Indiana",10,1.10836796323076
"155","Indiana",11,1.61796247971093
"156","Indiana",12,2.19698522828106
"157","Iowa",1,2.43874589713119
"158","Iowa",2,2.89046293012667
"159","Iowa",3,2.06387424043384
"160","Iowa",4,1.46686192717142
"161","Iowa",5,1.27404685396992
"162","Iowa",6,0.969897809608024
"163","Iowa",7,1.18626409198664
"164","Iowa",8,1.10431766345985
"165","Iowa",9,1.1233925992486
"166","Iowa",10,1.15121244164657
"167","Iowa",11,2.14782564690831
"168","Iowa",12,2.67937186594576
"169","Kansas",1,1.83518268909204
"170","Kansas",2,2.44051405301394
"171","Kansas",3,1.80740432594515
"172","Kansas",4,1.60004643332342
