"","month","year","temp_mean","temp_max","temp_min"
"102",3,2003,18.0192684889782,24.5548387096774,12.1225806451613
"103",3,2004,22.385582010582,29.5709677419355,15.6935483870968
"104",3,2005,17.5951449288157,23.6645161290323,12.3032258064516
"105",3,2006,16.8063108457424,23.0838709677419,11.4612903225806
"106",3,2007,20.3944705678906,27.5064516129032,13.7870967741935
"107",3,2008,19.380665613174,26.6548387096774,12.4903225806452
"108",3,2009,19.8482489905349,26.9870967741935,13.4806451612903
"109",3,2010,17.0462052261067,23.5516129032258,11.3645161290323
"110",3,2011,19.9315397793818,27.0354838709677,13.0645161290323
"111",3,2012,18.6774264064066,26.4903225806452,11.7451612903226
"112",3,2013,20.824203723993,28.2677419354839,13.7838709677419
"113",3,2014,20.7339080513274,27.6516129032258,14.1935483870968
"114",3,2015,22.273260747001,29.1709677419355,15.9161290322581
"115",3,2016,21.0407768949627,28.4774193548387,14.158064516129
"116",3,2017,21.591583141321,29.2129032258065,14.5096774193548
"117",3,2018,19.3192485698395,26.3387096774194,13.0129032258065
"118",4,1980,21.3416666666667,29.29,14
"119",4,1981,24.7448611111111,32.3533333333333,17.5966666666667
"120",4,1982,22.6840277777778,30.1633333333333,15.5233333333333
"121",4,1983,19.4933333333333,26.9366666666667,12.99
"122",4,1984,21.8022222222222,29.25,15.11
"123",4,1985,24.0686111111111,31.78,17.0533333333333
"124",4,1986,23.6325,30.8133333333333,16.8233333333333
"125",4,1987,25.4461111111111,33.1666666666667,18.4166666666667
"126",4,1988,22.7059722222222,30.0933333333333,16.0666666666667
"127",4,1989,26.88,34.7166666666667,19.1733333333333
"128",4,1990,24.4213888888889,31.7633333333333,18.0533333333333
"129",4,1991,22.4381944444444,29.98,15.1033333333333
"130",4,1992,25.0273611111111,32.24,17.9533333333333
"131",4,1993,23.4688888888889,30.3933333333333,16.2433333333333
"132",4,1994,22.5953038936372,29.5666666666667,15.7466666666667
"133",4,1995,20.4423263736264,27.52,13.66
"134",4,1996,23.751555090312,30.9233333333333,16.4633333333333
"135",4,1997,21.8267951854659,28.2166666666667,15.59
"136",4,1998,19.4175760270196,26.3233333333333,13.0233333333333
"137",4,1999,19.0621498236332,26.4866666666667,12.8533333333333
"138",4,2000,24.3110895330723,31.9,17.2033333333333
"139",4,2001,22.2030802052779,29.0766666666667,15.7966666666667
"140",4,2002,25.0590168156662,31.9733333333333,18.31
"141",4,2003,21.6704805996473,28.69,14.7966666666667
"142",4,2004,22.8620444051479,29.5266666666667,16.4966666666667
"143",4,2005,22.6162164750958,29.93,15.7233333333333
"144",4,2006,22.7016961625008,29.9333333333333,16.1466666666667
"145",4,2007,23.2284299437156,30.3533333333333,16.56
"146",4,2008,23.6630555555556,30.9066666666667,16.3433333333333
"147",4,2009,22.2729784710819,29.71,15.3066666666667
"148",4,2010,21.6970814622557,28.8766666666667,15.2766666666667
"149",4,2011,23.7101108242811,30.7233333333333,17.32
"150",4,2012,24.340253968254,31.5466666666667,17.5566666666667
"151",4,2013,24.4953270567486,31.2866666666667,17.2966666666667
"152",4,2014,24.2955747126437,31.3333333333333,17.3566666666667
"153",4,2015,23.7982391534392,30.4633333333333,17.0166666666667
"154",4,2016,23.3590376581667,29.9633333333333,17.21
"155",4,2017,24.3591596482865,31.4966666666667,17.2466666666667
"156",4,2018,25.6770712812092,32.76,18.46
"157",5,1980,24.8510752688172,32.1354838709677,17.8161290322581
"158",5,1981,27.5227150537634,33.9258064516129,20.5903225806452
"159",5,1982,27.0747311827957,34.5870967741935,19.7354838709677
"160",5,1983,27.5012096774194,35.1967741935484,19.2387096774194
"161",5,1984,30.864247311828,38.1064516129032,23.2838709677419
"162",5,1985,29.3013440860215,35.9903225806452,22.4774193548387
"163",5,1986,28.2994623655914,35.6645161290323,20.8225806451613
"164",5,1987,28.0333333333333,34.7935483870968,21.6258064516129
"165",5,1988,27.9170698924731,35.7258064516129,20.4129032258065
"166",5,1989,28.589247311828,36.4064516129032,21.0225806451613
"167",5,1990,27.5596774193548,34.5,20.7322580645161
"168",5,1991,27.0088709677419,34.6548387096774,19.4096774193548
"169",5,1992,28.0773655913979,34.858064516129,22.3677419354839
"170",5,1993,29.0411290322581,35.8935483870968,22.0903225806452
"171",5,1994,26.0500351007292,33.0612903225806,18.9193548387097
"172",5,1995,25.1339148056245,31.458064516129,18.2258064516129
"173",5,1996,29.0394015500628,35.9967741935484,21.241935483871
"174",5,1997,30.5037590245776,36.9903225806452,23.5064516129032
"175",5,1998,25.2121117084827,31.7258064516129,18.1322580645161
"176",5,1999,26.9667851316277,33.7,20.0967741935484
