"lad","month_id","anomaly.t2m.monthly"
"E06000002",47,-1.26356666666667
"E06000002",48,1.17635483870968
"E06000002",49,0.834222873900293
"E06000002",50,1.34065342214056
"E06000002",51,0.698152492668621
"E06000002",52,1.17776780185759
"E06000002",53,1.11238709677419
"E06000002",54,0.5993
"E06000002",55,0.424225806451614
"E06000002",56,-0.895806451612904
"E06000002",57,0.308233333333333
"E06000002",58,1.21561290322581
"E06000002",59,1.29776666666667
"E06000002",60,-0.0781612903225806
"E06000002",61,0.0939002932551317
"E06000002",62,-0.81434657785944
"E06000002",63,-0.0815249266862175
"E06000002",64,0.0661011351909185
"E06000002",65,-0.574387096774193
"E06000002",66,-1.13836666666667
"E06000002",67,-1.12448387096774
"E06000002",68,0.221290322580645
"E06000002",69,-1.4691
"E06000002",70,-0.340193548387096
