Date,tmean (degrees C)
2010-11,13.4
2010-12,5
2011-01,5.8
2011-02,10.7
2011-03,16
2011-04,19.8
2011-05,21.6
2011-06,28.3
2011-07,28.4
2011-08,28.9
2011-09,23.9
2011-10,16.7
2011-11,14.1
2011-12,10.5
2012-01,11.1
2012-02,12.1
2012-03,19
2012-04,19.3
2012-05,23.5
2012-06,25.3
2012-07,28.9
2012-08,26.9
2012-09,24
2012-10,18.1
2012-11,11.2
2012-12,11.7
2013-01,11.7
2013-02,10.1
2013-03,10.7
2013-04,18.2
2013-05,21
2013-06,26.7
2013-07,26.5
2013-08,26.6
2013-09,25.6
2013-10,19.4
2013-11,12.6
2013-12,10.4
2014-01,4.2
2014-02,10.2
2014-03,12.7
2014-04,18.2
2014-05,22.3
2014-06,26.7
2014-07,27.1
2014-08,27.7
2014-09,26.4
2014-10,19.8
2014-11,10
2014-12,11
2015-01,7.9
2015-02,6.9
2015-03,16.1
2015-04,20.6
2015-05,23
2015-06,27.3
2015-07,28.9
2015-08,28
2015-09,24.9
2015-10,19.7
2015-11,16.7
2015-12,15.3
